date,ff_Mkt_RF,ff_SMB,ff_HML,ff_RMW,ff_CMA,ff_RF,ff_Mom,wg_dp,wg_dy,wg_ep,wg_de,wg_bm,wg_ntis,wg_tbl,wg_lty,wg_ltr,wg_infl,wg_svar,wg_dfy,wg_dfr,wg_tms,wg_mkt_lag1,jkp_accruals,jkp_debt_issuance,jkp_investment,jkp_low_leverage,jkp_low_risk,jkp_momentum,jkp_profit_growth,jkp_profitability,jkp_quality,jkp_seasonality,jkp_short_term_reversal,jkp_size,jkp_value
1963-09-01,-0.015700000000000002,-0.0043,0.0,-0.0078000000000000005,0.0015,0.0027,0.0012,-3.4794982320759136,-3.4905940463309673,-2.896246722339186,-0.5832515097367278,0.5472236248,0.010313262,0.0338,0.041,0.0004,0.0,0.0003299103,0.005299999999999999,-0.0027,0.007200000000000005,0.048748734268769134,0.0021583389458387,0.0007409207856779,0.0051544990889962,0.0069096629223686,0.0159847999728397,-0.0043417875313659,0.0007529737952003,-0.0066361543792906,0.0014702772704464,0.0070598374363116,0.0151699159363411,0.0141261028423576,0.0012976625150866
1963-10-01,0.0254,-0.0134,-0.0004,0.0279,-0.0225,0.0029,0.0313,-3.500719906965083,-3.4690104353612834,-2.9229183999130286,-0.5778015070520545,0.5309640772,0.0102799661,0.0345,0.0415,-0.0026,0.003257329,0.0005035319,0.0051,0.0075,0.006999999999999999,-0.011034482758620623,0.0155570993965521,0.0026889156566845,0.0001990469778962,0.0075232743001257,-0.0205400541209892,0.020400139481455,0.0112949571723259,0.0072766085045881,0.0176707966765483,-0.0015736426238673,0.0025151503523188,-0.0160726297187889,-0.0010788514423634
1963-11-01,-0.0086,-0.0085,0.0173,-0.0043,0.0227,0.0027,-0.0078000000000000005,-3.479701603877251,-3.490296650013647,-2.9073108119530877,-0.5723907919241631,0.5342962213,0.0060125452,0.0352,0.0414,0.0051,0.0,0.0031101657,0.0051,-0.0036000000000000003,0.006199999999999997,0.032217573221757334,-0.0078498738332656,-0.0010970486848437,-0.0016676440824935,-0.0032320200840735,-0.0013320047468773,-0.0041049088127793,0.0007722622981503,-0.0015601027190695,0.0006323483278094,0.0017524242107938,0.0047649540699204,-0.0083533558233066,0.0018026559266899
1963-12-01,0.0183,-0.0189,-0.0021,0.0012,-0.0025,0.0029,0.0184,-3.493579301687392,-3.4694297301066293,-2.926472842022812,-0.5671064596645802,0.5255914542,0.0089547303,0.0352,0.0417,-0.0006,0.0032467532,0.0002735667,0.0050000000000000044,-0.0028,0.006499999999999999,-0.010539116335630316,0.0182484741414623,-0.0040593043921045,0.006387454599604,0.0052967239279237,0.0126890187441156,0.0129544692897491,0.0100428773683247,0.0073008589245288,0.0004825809543245,-0.0008599177693854,0.0106916479301595,-0.0194226439194379,-0.0071853495313005
1964-01-01,0.0227,0.001,0.0163,0.0021,0.0148,0.003,0.0102,-3.512851457449638,-3.486281434613509,-2.93987128575407,-0.5729801716955681,0.5106068709,0.0142935705,0.0352,0.0421,-0.0014,0.0,0.0001833411,0.004400000000000001,0.0101,0.006899999999999996,0.02444353407073585,0.00940634594294,0.0084303908099482,0.0121791374029757,-0.0018762623657832,0.0047949704963576,0.0117863778062435,0.0039690636448349,-0.0025338242819282,-0.0043832417782172,0.0024968725221926,-0.0005452825950347,0.0005940841460097,0.0047201986608821
1964-02-01,0.0155,0.0033,0.0281,0.0011,0.008100000000000001,0.0026,0.0033,-3.5154663546594587,-3.5056496909649826,-2.9366633750842026,-0.5788029795752561,0.5011622966,0.0174079186,0.0353,0.0424,-0.0011,0.0,7.16995e-05,0.004700000000000003,0.006500000000000001,0.007100000000000002,0.02692615302585999,0.0087329667341653,0.005274798580295,0.0019901975422588,-0.0048583621912537,-0.0087483481320306,0.0040221763350627,0.0044673214159048,-0.0017003719760445,0.0034808240753922,-0.000593734300919,-0.0001001335426395,-0.0012537986185824,0.0077566462550451
1964-03-01,0.0141,0.0141,0.0329,-0.0203,0.0298,0.0031,0.0069,-3.5233263882808945,-3.508273163606737,-2.938883409321839,-0.5844429789590557,0.5236754417,0.0177832391,0.0354,0.0424,0.0037,0.0,0.0001147114,0.004500000000000004,-0.009899999999999999,0.006999999999999999,0.009865005192107867,0.0140122547309011,0.0086464728338364,0.0201842649992994,-0.011564658700634,-0.0008065814686356,0.0150822665880767,0.0017866648605778,-0.0115689697918475,-0.0034354389235657,0.0007180718569085,0.0043539907676057,0.0040468605809056,0.0217948945453579
1964-04-01,0.0011,-0.0148,-0.0054,-0.0132,-0.0113,0.0029,-0.0064,-3.5222436644400403,-3.5161845699120917,-2.9330517573282657,-0.5891919071117745,0.5253031069,0.0207680034,0.0347,0.0423,0.0047,0.0,0.0002547552,0.004500000000000004,-0.0007000000000000001,0.007599999999999996,0.015167095115681262,-0.0091430427869485,-0.0080033136933307,-0.0050563970557441,-0.0057582510003124,0.0286206132728636,-0.0098418185376198,-0.0047849146619728,-0.0038766959558536,-0.0075571219313819,0.0035948181660613,0.0117743303174373,-0.0017707600612441,0.0009247407359281
1964-05-01,0.0141,-0.0062,0.0181,-0.0015,0.0013,0.0026,0.0253,-3.5265820248205233,-3.5151948029823488,-2.9326879626309212,-0.593894062189602,0.5190357804,0.0211793163,0.0348,0.0422,0.005,0.0,0.0002257771,0.004400000000000001,0.0007000000000000001,0.007400000000000004,0.006077487971638318,-0.0002913505571727,0.0011166646292514,-0.0048061416109829,0.0032516370065172,-0.0015911475086511,0.0109998314169394,0.0078213616032588,0.002356814617815,0.0075512150289813,0.0001918037967373,-0.0044343205780867,-0.0039355964577676,-0.0008618555042543
1964-06-01,0.0127,0.0013,0.0068000000000000005,-0.0033,0.001,0.003,0.004699999999999999,-3.5358311076703943,-3.5195404845412437,-2.9373640533393788,-0.5984670543310152,0.5122068551,0.0205029799,0.0348,0.0419,0.0069,0.003236246,0.0003978509,0.004400000000000001,-0.0021000000000000003,0.007100000000000002,0.011452303045557555,-0.0035738563195194,-0.0012677969809222,-0.002350722227821,-0.0121700521081697,0.003992572894483,-0.0022475648025969,-0.0045697838173258,-0.0021748562926638,0.0020683552607971,-0.0010520829006434,0.0028037079219885,0.0032088642280695,0.0082376561454779
